연번,검증인정서번호,기업명,공장명,모델명,검증코드,출력(W),탄소배출량,검증방법,검증인정서발급일,검증인정서만료일
1,2020-001,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 440,Q.PEAK DUO XL-G9.3 KR1 440_659.88kgCO2,440,659.88,표준배출계수,2023-09-16,2026-09-15
2,2020-002,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 440,Q.PEAK DUO XL-G9.3 KR1 440_678.24kgCO2,440,678.24,표준배출계수,2023-09-16,2026-09-15
3,2020-003,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 440,Q.PEAK DUO XL-G9.3 KR1 440_748.37kgCO2,440,748.37,표준배출계수,2020-09-16,2023-09-15
4,2020-004,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 445,Q.PEAK DUO XL-G9.3 KR1 445_652.46kgCO2,445,652.46,표준배출계수,2023-09-16,2026-09-15
5,2020-005,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 445,Q.PEAK DUO XL-G9.3 KR1 445_670.62kgCO2,445,670.62,표준배출계수,2023-09-16,2026-09-15
6,2020-006,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 445,Q.PEAK DUO XL-G9.3 KR1 445_739.96kgCO2,445,739.96,표준배출계수,2020-09-16,2023-09-15
7,2020-007,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 450,Q.PEAK DUO XL-G9.3 KR1 450_645.21kgCO2,450,645.21,표준배출계수,2023-09-16,2026-09-15
8,2020-008,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 450,Q.PEAK DUO XL-G9.3 KR1 450_663.17kgCO2,450,663.17,표준배출계수,2023-09-16,2026-09-15
9,2020-009,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 450,Q.PEAK DUO XL-G9.3 KR1 450_731.74kgCO2,450,731.74,표준배출계수,2020-09-16,2023-09-15
10,2020-010,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 455,Q.PEAK DUO XL-G9.3 KR1 455_638.12kgCO2,455,638.12,표준배출계수,2023-09-16,2026-09-15
11,2020-011,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 455,Q.PEAK DUO XL-G9.3 KR1 455_655.88kgCO2,455,655.88,표준배출계수,2023-09-16,2026-09-15
12,2020-012,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 455,Q.PEAK DUO XL-G9.3 KR1 455_723.70kgCO2,455,723.7,표준배출계수,2023-09-16,2026-09-15
13,2020-013,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 440,Q.PEAK DUO XL-G9.3 440_749.48kgCO2,440,749.48,표준배출계수,2020-09-16,2023-09-15
14,2020-014,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 445,Q.PEAK DUO XL-G9.3 445_741.06kgCO2,445,741.06,표준배출계수,2020-09-16,2023-09-15
15,2020-015,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 450,Q.PEAK DUO XL-G9.3 450_732.83kgCO2,450,732.83,표준배출계수,2020-09-16,2023-09-15
16,2020-016,한화솔루션(주),음성 제2사업장,Q.PEAK DUO L-G8 KR1 405,Q.PEAK DUO L-G8 KR1 405_667.20kgCO2,405,667.2,표준배출계수,2023-09-16,2026-09-15
